               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0668,           0.0092704,            0.014992,          0.00033876,          0.00066313,          4.8314e-05,          9.6566e-06,            0.058783,           0.0078303,            0.011828,            0.001559,            0.001559,              0.0272
                   1,            0.055087,           0.0088637,           0.0088683,           0.0057839,           0.0069629,           0.0011807,          0.00020942,            0.049095,           0.0093393,           0.0060028,            0.003159,            0.003159,              0.0038
                   2,            0.048134,            0.009509,           0.0058411,              0.7853,            0.054377,            0.024943,            0.004727,            0.037537,           0.0097337,           0.0043674,           0.0031974,           0.0031974,           0.0031974
                   3,             0.04084,            0.010181,           0.0049061,              0.8065,             0.08687,            0.043582,           0.0072502,            0.031433,            0.010504,           0.0041189,           0.0031892,           0.0031892,           0.0031892
                   4,             0.03543,            0.010935,           0.0044938,             0.85688,              0.1071,             0.10418,            0.021733,            0.028752,            0.010545,           0.0039772,           0.0031755,           0.0031755,           0.0031755
                   5,            0.030188,            0.012224,           0.0041915,             0.91273,             0.18634,             0.17345,            0.053564,            0.023202,            0.010971,           0.0040372,           0.0031563,           0.0031563,           0.0031563
                   6,            0.027496,            0.011926,           0.0042278,             0.88267,             0.16609,             0.14991,            0.037793,            0.022086,            0.010543,           0.0039903,           0.0031318,           0.0031318,           0.0031318
                   7,            0.025391,            0.011891,           0.0040597,             0.92321,             0.18568,             0.19807,            0.066477,            0.019726,            0.010556,           0.0039892,            0.003102,            0.003102,            0.003102
                   8,            0.027736,             0.01194,           0.0042851,             0.91829,             0.18164,             0.18142,            0.050288,            0.020597,            0.010291,           0.0039429,            0.003067,            0.003067,            0.003067
                   9,            0.024271,              0.0122,           0.0042225,              0.9195,              0.1857,             0.19355,            0.057995,            0.019394,            0.010125,            0.003877,           0.0030269,           0.0030269,           0.0030269
                  10,            0.023478,            0.011641,           0.0040563,             0.95333,             0.20801,             0.22964,            0.097012,            0.018136,            0.010002,           0.0038644,            0.002982,            0.002982,            0.002982
                  11,             0.02283,            0.012292,           0.0039271,             0.94016,             0.19728,             0.21162,            0.069844,            0.021263,            0.009704,           0.0038508,           0.0029324,           0.0029324,           0.0029324
                  12,            0.025077,            0.011782,           0.0042047,             0.95434,             0.21812,             0.23202,             0.10113,              0.0168,           0.0097834,           0.0038243,           0.0028783,           0.0028783,           0.0028783
                  13,            0.022166,            0.012179,            0.003967,             0.95933,             0.21505,             0.23069,             0.10148,            0.016349,           0.0097089,           0.0037898,           0.0028199,           0.0028199,           0.0028199
                  14,            0.022381,            0.012018,           0.0041804,             0.95509,             0.21485,             0.22541,            0.084614,            0.016922,           0.0095707,           0.0037513,           0.0027575,           0.0027575,           0.0027575
                  15,            0.020978,            0.011132,           0.0039309,             0.95762,             0.21443,              0.2294,             0.08943,            0.017673,           0.0095063,           0.0037321,           0.0026912,           0.0026912,           0.0026912
                  16,             0.02105,            0.011115,           0.0038885,             0.96512,             0.21881,             0.24246,             0.11209,            0.016302,           0.0094094,           0.0037197,           0.0026214,           0.0026214,           0.0026214
                  17,            0.022164,            0.011516,           0.0039426,              0.9586,             0.22115,             0.23864,             0.10046,             0.01732,           0.0093473,            0.003685,           0.0025484,           0.0025484,           0.0025484
                  18,             0.02107,            0.011045,           0.0041564,             0.96624,             0.21873,              0.2428,             0.11723,            0.015478,           0.0093076,           0.0036481,           0.0024723,           0.0024723,           0.0024723
                  19,            0.019319,            0.011361,           0.0035852,             0.95721,             0.21187,             0.23538,              0.1013,            0.016504,           0.0092909,           0.0036216,           0.0023935,           0.0023935,           0.0023935
                  20,            0.020582,            0.011547,           0.0040895,             0.96438,             0.22147,             0.24145,             0.11757,            0.015189,           0.0091977,           0.0036119,           0.0023124,           0.0023124,           0.0023124
                  21,            0.020643,            0.011364,           0.0038219,             0.96423,             0.22239,             0.24567,             0.11928,             0.01575,           0.0092085,           0.0036051,           0.0022293,           0.0022293,           0.0022293
                  22,            0.019511,            0.011329,           0.0037199,             0.96737,             0.21684,             0.24374,             0.11825,            0.015083,           0.0092194,           0.0035963,           0.0021444,           0.0021444,           0.0021444
                  23,            0.018155,            0.011292,           0.0036967,             0.96626,             0.22312,             0.24728,             0.12415,            0.014883,           0.0091194,           0.0035501,           0.0020581,           0.0020581,           0.0020581
                  24,            0.018009,            0.011502,           0.0035057,             0.96495,             0.22167,             0.24366,              0.1131,            0.015745,           0.0090744,           0.0035201,           0.0019707,           0.0019707,           0.0019707
                  25,            0.018566,            0.011431,           0.0036829,             0.96937,             0.22347,             0.25059,             0.12772,            0.014558,           0.0090163,           0.0034812,           0.0018827,           0.0018827,           0.0018827
                  26,            0.020196,            0.011603,           0.0036947,             0.96953,             0.22016,              0.2484,             0.12442,            0.015274,           0.0089936,           0.0034669,           0.0017943,           0.0017943,           0.0017943
                  27,            0.018407,            0.011004,            0.003592,             0.96664,             0.22606,             0.25126,              0.1284,            0.014452,           0.0089416,           0.0034355,           0.0017059,           0.0017059,           0.0017059
                  28,              0.0187,            0.011034,           0.0037589,             0.97139,             0.22064,             0.25214,              0.1279,              0.0145,           0.0089387,           0.0034261,           0.0016178,           0.0016178,           0.0016178
                  29,            0.018315,            0.011152,           0.0036563,             0.96528,             0.22546,             0.25239,             0.13143,            0.014241,           0.0089182,           0.0033885,           0.0015304,           0.0015304,           0.0015304
                  30,            0.018537,            0.010622,           0.0036976,             0.97054,             0.21883,             0.25223,             0.12856,            0.014511,           0.0089027,           0.0033895,            0.001444,            0.001444,            0.001444
                  31,            0.019007,            0.010993,           0.0037488,              0.9687,             0.22248,             0.25501,             0.13206,            0.014222,           0.0089102,           0.0033738,           0.0013591,           0.0013591,           0.0013591
                  32,            0.019006,            0.010504,           0.0036613,             0.96729,             0.22243,             0.25544,             0.13437,            0.014376,           0.0089142,            0.003329,           0.0012758,           0.0012758,           0.0012758
                  33,            0.019453,            0.011492,           0.0036469,             0.97067,             0.22215,             0.25793,             0.13199,            0.014345,           0.0088607,           0.0033004,           0.0011946,           0.0011946,           0.0011946
                  34,            0.019013,            0.010737,           0.0035797,              0.9718,              0.2195,             0.25607,             0.13383,            0.014194,           0.0088544,           0.0032941,           0.0011157,           0.0011157,           0.0011157
                  35,            0.018088,            0.010812,           0.0035161,             0.97136,              0.2204,             0.25612,             0.13313,            0.014405,           0.0088316,           0.0032574,           0.0010395,           0.0010395,           0.0010395
                  36,            0.018381,            0.011486,           0.0036875,             0.97068,             0.22207,             0.25833,             0.13576,            0.014176,           0.0087973,           0.0032343,          0.00096623,          0.00096623,          0.00096623
                  37,            0.018268,            0.010724,           0.0036313,             0.97039,             0.22207,             0.25818,             0.13395,             0.01422,           0.0088053,           0.0032334,          0.00089626,          0.00089626,          0.00089626
                  38,            0.017147,            0.011044,           0.0034309,             0.97126,             0.22281,             0.26125,             0.13667,            0.014127,           0.0087927,           0.0032109,          0.00082981,          0.00082981,          0.00082981
                  39,            0.018596,            0.010776,           0.0035489,             0.96897,             0.22248,             0.26061,             0.13853,            0.014093,           0.0087716,            0.003205,          0.00076717,          0.00076717,          0.00076717
                  40,            0.017737,            0.010811,            0.003507,             0.97262,             0.22115,             0.26212,             0.13956,            0.013989,           0.0087727,           0.0031929,          0.00070856,          0.00070856,          0.00070856
                  41,            0.018072,            0.011004,            0.003833,             0.96988,             0.22513,              0.2652,             0.14091,            0.013958,           0.0087733,           0.0031864,          0.00065424,          0.00065424,          0.00065424
                  42,            0.017362,            0.010621,           0.0034109,             0.97153,             0.22281,              0.2646,             0.14077,               0.014,           0.0087588,           0.0031779,           0.0006044,           0.0006044,           0.0006044
                  43,            0.017349,            0.011042,           0.0035313,             0.97053,             0.22149,             0.26268,             0.13975,            0.014132,           0.0087514,           0.0031611,          0.00055925,          0.00055925,          0.00055925
                  44,            0.017877,            0.010855,           0.0036136,             0.97013,             0.22479,             0.26904,             0.14495,            0.013857,           0.0087389,           0.0031381,          0.00051897,          0.00051897,          0.00051897
                  45,            0.017161,            0.011017,           0.0034125,             0.97057,             0.22414,             0.27238,             0.14529,            0.014099,           0.0087482,           0.0031348,          0.00048371,          0.00048371,          0.00048371
                  46,             0.01835,            0.010866,           0.0035995,             0.97163,             0.22314,              0.2733,             0.14656,            0.013898,           0.0087367,           0.0031388,          0.00045362,          0.00045362,          0.00045362
                  47,            0.017896,             0.01113,           0.0034859,             0.96751,             0.22645,             0.27901,             0.14957,            0.013876,           0.0087241,           0.0031298,           0.0004288,           0.0004288,           0.0004288
                  48,            0.017082,            0.010747,           0.0034295,              0.9702,              0.2258,             0.27833,             0.14979,             0.01391,           0.0087101,           0.0031211,          0.00040937,          0.00040937,          0.00040937
                  49,            0.017643,            0.010718,           0.0038037,             0.96888,             0.22447,             0.27515,             0.14856,            0.013899,           0.0087405,           0.0031132,          0.00039539,          0.00039539,          0.00039539
                  50,            0.017325,            0.010959,           0.0034452,             0.97211,              0.2195,             0.26859,              0.1395,            0.014484,           0.0087573,           0.0030358,          0.00038692,          0.00038692,          0.00038692
                  51,            0.017022,            0.010508,           0.0032366,             0.96871,             0.22245,             0.27853,             0.14804,            0.014265,           0.0087419,           0.0030636,            0.000384,            0.000384,            0.000384
